N_SQ_AR;C_AR;AR_LATS;AR_LNGS
750000001;1;48.86256270183605;2.3364433620533847
750000002;2;48.86827922252252;2.3428025468913636
750000003;3;48.86287238001689;2.3600009858976927
750000004;4;48.854341426272896;2.357629620324993
750000005;5;48.84444315053267;2.350714609575257
750000006;6;48.84913035858519;2.332897999053313
750000007;7;48.85617442877936;2.312187691482009
750000008;8;48.87272083743446;2.3125540224020638
750000009;9;48.87716351732886;2.3374575434825466
750000010;10;48.876130036539124;2.36072848784745
750000011;11;48.859059221342505;2.380058308197898
750000012;12;48.83497438148051;2.421324900784681
750000013;13;48.828388031744694;2.3622724404209055
750000014;14;48.829244500489835;2.3265420441989453
750000015;15;48.84008537593817;2.2928258224249967
750000016;16;48.860392105415706;2.2619707883645397
750000017;17;48.88732652202582;2.3067769905744084
750000018;18;48.892569268005786;2.34816051956204
750000019;19;48.887075996572506;2.3848209601525143
750000020;20;48.86346057889556;2.4011881292846864